time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-21 00:00:00+00:00,382,44,77,2
2026-03-22 00:00:00+00:00,67,11,24,1
2026-03-23 00:00:00+00:00,204,35,19,2
2026-03-24 00:00:00+00:00,89,19,15,3
2026-03-25 00:00:00+00:00,185,38,9,1
2026-03-26 00:00:00+00:00,51,9,16,2
2026-03-27 00:00:00+00:00,62,12,32,3
2026-03-28 00:00:00+00:00,10,10,2,2
2026-03-29 00:00:00+00:00,297,57,38,3
2026-03-30 00:00:00+00:00,287,48,52,2
2026-03-31 00:00:00+00:00,607,116,111,2
2026-04-01 00:00:00+00:00,42,12,9,2
2026-04-02 00:00:00+00:00,11,9,9,2
2026-04-03 00:00:00+00:00,34,11,14,4
