phase,api,chaos_method,reconciler,iteration,packet_idx,source_field,drifted_field,chaos_sub_type,reconciliation_status,quantum_routed,payload_source,chaos_type,selected_reconciler,optimal_reconciler,routing_decision_match,qpu_execution_time_ms,classical_simulation_baseline_ms,quantum_loop_iterations,gate_fidelity_average,qubit_coherence_status_score,gpu_energy_draw_joules,cpu_energy_draw_joules
quantum,openf1,json_manip,bert,1,36,date,,null_injection,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,36,driver_number,,null_injection,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,36,rpm,,null_injection,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,36,speed,,null_injection,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,36,gear,,null_injection,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,36,throttle,,null_injection,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,36,brake,,null_injection,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,36,drs,,null_injection,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,36,n_gear,,null_injection,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,36,session_key,,null_injection,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,46,date,,scalar_to_array,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,46,driver_number,,scalar_to_array,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,46,rpm,,scalar_to_array,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,46,speed,,scalar_to_array,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,46,gear,,scalar_to_array,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,46,throttle,,scalar_to_array,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,46,brake,,scalar_to_array,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,46,drs,,scalar_to_array,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,46,n_gear,,scalar_to_array,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,46,session_key,,scalar_to_array,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,levenshtein,1,51,driver_number,driver_number,variable_drop,FALSE_POSITIVE,True,openf1,json_manip,levenshtein,levenshtein,True,0.0,2329.5512079494074,176,1.0,1.0,0.0,0.05
quantum,openf1,json_manip,levenshtein,1,51,throttle,throttle,variable_drop,FALSE_POSITIVE,True,openf1,json_manip,levenshtein,levenshtein,True,0.0,2329.5512079494074,176,1.0,1.0,0.0,0.05
quantum,openf1,json_manip,levenshtein,1,51,brake,brake,variable_drop,FALSE_POSITIVE,True,openf1,json_manip,levenshtein,levenshtein,True,0.0,2329.5512079494074,176,1.0,1.0,0.0,0.05
quantum,openf1,json_manip,levenshtein,1,51,drs,drs,variable_drop,FALSE_POSITIVE,True,openf1,json_manip,levenshtein,levenshtein,True,0.0,2329.5512079494074,176,1.0,1.0,0.0,0.05
quantum,openf1,json_manip,levenshtein,1,51,date,date,variable_drop,FALSE_POSITIVE,True,openf1,json_manip,levenshtein,levenshtein,True,0.0,2329.5512079494074,176,1.0,1.0,0.0,0.05
quantum,openf1,json_manip,levenshtein,1,51,gear,n_gear,variable_drop,SUCCESS,True,openf1,json_manip,levenshtein,levenshtein,True,0.0,2329.5512079494074,176,1.0,1.0,0.0,0.05
quantum,openf1,json_manip,levenshtein,1,51,speed,speed,variable_drop,FALSE_POSITIVE,True,openf1,json_manip,levenshtein,levenshtein,True,0.0,2329.5512079494074,176,1.0,1.0,0.0,0.05
quantum,openf1,json_manip,levenshtein,1,51,rpm,rpm,variable_drop,FALSE_POSITIVE,True,openf1,json_manip,levenshtein,levenshtein,True,0.0,2329.5512079494074,176,1.0,1.0,0.0,0.05
quantum,openf1,json_manip,levenshtein,1,51,n_gear,n_gear,variable_drop,FALSE_POSITIVE,True,openf1,json_manip,levenshtein,levenshtein,True,0.0,2329.5512079494074,176,1.0,1.0,0.0,0.05
quantum,openf1,json_manip,levenshtein,1,51,session_key,session_key,variable_drop,FALSE_POSITIVE,True,openf1,json_manip,levenshtein,levenshtein,True,0.0,2329.5512079494074,176,1.0,1.0,0.0,0.05
quantum,openf1,json_manip,bert,1,54,date,,scalar_to_array,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,54,driver_number,,scalar_to_array,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,54,rpm,,scalar_to_array,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,54,speed,,scalar_to_array,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,54,gear,,scalar_to_array,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,54,throttle,,scalar_to_array,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,54,brake,,scalar_to_array,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,54,drs,,scalar_to_array,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,54,n_gear,,scalar_to_array,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,bert,1,54,session_key,,scalar_to_array,FAILURE,True,openf1,json_manip,bert,levenshtein,False,0.0,2329.5512079494074,176,1.0,1.0,0.3,0.95
quantum,openf1,json_manip,levenshtein,1,84,driver_number,driver_number,field_join,FALSE_POSITIVE,True,openf1,json_manip,levenshtein,bert,False,0.0,2329.5512079494074,176,1.0,1.0,0.0,0.05
quantum,openf1,json_manip,levenshtein,1,84,throttle,throttle,field_join,FALSE_POSITIVE,True,openf1,json_manip,levenshtein,bert,False,0.0,2329.5512079494074,176,1.0,1.0,0.0,0.05
quantum,openf1,json_manip,levenshtein,1,84,brake,date,field_join,SUCCESS,True,openf1,json_manip,levenshtein,bert,False,0.0,2329.5512079494074,176,1.0,1.0,0.0,0.05
