phase,api,chaos_method,reconciler,iteration,packet_idx,source_field,drifted_field,chaos_sub_type,reconciliation_status,quantum_routed,payload_source,chaos_type,selected_reconciler,optimal_reconciler,routing_decision_match,qpu_execution_time_ms,classical_simulation_baseline_ms,quantum_loop_iterations,gate_fidelity_average,qubit_coherence_status_score,gpu_energy_draw_joules,cpu_energy_draw_joules
quantum,finnhub,json_manip,gemma_e2b,1,9,symbol,,variable_drop,FAILURE,True,finnhub,json_manip,gemma_e2b,bert,False,0.0,2079.5941008254886,165,1.0,1.0,120.0,57.0
quantum,finnhub,json_manip,gemma_e2b,1,9,price,,variable_drop,FAILURE,True,finnhub,json_manip,gemma_e2b,bert,False,0.0,2079.5941008254886,165,1.0,1.0,120.0,57.0
quantum,finnhub,json_manip,gemma_e2b,1,9,volume,,variable_drop,FAILURE,True,finnhub,json_manip,gemma_e2b,bert,False,0.0,2079.5941008254886,165,1.0,1.0,120.0,57.0
quantum,finnhub,json_manip,gemma_e2b,1,9,timestamp,,variable_drop,FAILURE,True,finnhub,json_manip,gemma_e2b,bert,False,0.0,2079.5941008254886,165,1.0,1.0,120.0,57.0
quantum,finnhub,json_manip,bert,1,11,symbol,,null_injection,FAILURE,True,finnhub,json_manip,bert,levenshtein,False,0.0,2079.5941008254886,165,1.0,1.0,0.3,0.95
quantum,finnhub,json_manip,bert,1,11,price,,null_injection,FAILURE,True,finnhub,json_manip,bert,levenshtein,False,0.0,2079.5941008254886,165,1.0,1.0,0.3,0.95
quantum,finnhub,json_manip,bert,1,11,volume,,null_injection,FAILURE,True,finnhub,json_manip,bert,levenshtein,False,0.0,2079.5941008254886,165,1.0,1.0,0.3,0.95
quantum,finnhub,json_manip,bert,1,11,timestamp,,null_injection,FAILURE,True,finnhub,json_manip,bert,levenshtein,False,0.0,2079.5941008254886,165,1.0,1.0,0.3,0.95
quantum,finnhub,json_manip,levenshtein,1,14,volume,volume,field_merge_value,FALSE_POSITIVE,True,finnhub,json_manip,levenshtein,bert,False,0.0,2079.5941008254886,165,1.0,1.0,0.0,0.05
quantum,finnhub,json_manip,levenshtein,1,14,symbol,symbol,field_merge_value,FALSE_POSITIVE,True,finnhub,json_manip,levenshtein,bert,False,0.0,2079.5941008254886,165,1.0,1.0,0.0,0.05
quantum,finnhub,json_manip,levenshtein,1,14,price,,field_merge_value,FAILURE,True,finnhub,json_manip,levenshtein,bert,False,0.0,2079.5941008254886,165,1.0,1.0,0.0,0.05
quantum,finnhub,json_manip,levenshtein,1,14,timestamp,,field_merge_value,FAILURE,True,finnhub,json_manip,levenshtein,bert,False,0.0,2079.5941008254886,165,1.0,1.0,0.0,0.05
quantum,finnhub,json_manip,levenshtein,1,62,price,price,duplicate_field_inject,FALSE_POSITIVE,True,finnhub,json_manip,levenshtein,levenshtein,True,0.0,2079.5941008254886,165,1.0,1.0,0.0,0.05
quantum,finnhub,json_manip,levenshtein,1,62,volume,volume,duplicate_field_inject,FALSE_POSITIVE,True,finnhub,json_manip,levenshtein,levenshtein,True,0.0,2079.5941008254886,165,1.0,1.0,0.0,0.05
quantum,finnhub,json_manip,levenshtein,1,62,symbol,symbol,duplicate_field_inject,FALSE_POSITIVE,True,finnhub,json_manip,levenshtein,levenshtein,True,0.0,2079.5941008254886,165,1.0,1.0,0.0,0.05
quantum,finnhub,json_manip,levenshtein,1,62,timestamp,timestamp,duplicate_field_inject,FALSE_POSITIVE,True,finnhub,json_manip,levenshtein,levenshtein,True,0.0,2079.5941008254886,165,1.0,1.0,0.0,0.05
quantum,finnhub,json_manip,levenshtein,1,63,price,price,variable_drop,FALSE_POSITIVE,True,finnhub,json_manip,levenshtein,bert,False,0.0,2079.5941008254886,165,1.0,1.0,0.0,0.05
quantum,finnhub,json_manip,levenshtein,1,63,volume,volume,variable_drop,FALSE_POSITIVE,True,finnhub,json_manip,levenshtein,bert,False,0.0,2079.5941008254886,165,1.0,1.0,0.0,0.05
quantum,finnhub,json_manip,levenshtein,1,63,timestamp,timestamp,variable_drop,FALSE_POSITIVE,True,finnhub,json_manip,levenshtein,bert,False,0.0,2079.5941008254886,165,1.0,1.0,0.0,0.05
quantum,finnhub,json_manip,levenshtein,1,63,symbol,,variable_drop,FAILURE,True,finnhub,json_manip,levenshtein,bert,False,0.0,2079.5941008254886,165,1.0,1.0,0.0,0.05
