packet_id,session,sensor,chaos_type,event_type,latency_ms,detected_or_recovered
3928ac056818,spielberg_FP1,aero_load,bit_flip_low,detection,0.0123,True
0f7fd422b7c2,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0075,True
92540cb5bb3e,spielberg_FP1,speed_alt,schema_drift,detection,0.006,True
5cdf8bd3b15b,spielberg_FP1,rpm,bit_flip_low,detection,0.0079,True
389d8100f65c,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0051,True
49023953caf3,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0026,True
97bfb6734b33,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0058,True
dea9991cc9b7,spielberg_FP1,speed,null_value,detection,0.004,True
f6b5558bfeae,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0061,True
4be53b092edb,spielberg_FP1,aero_load_canbus,schema_drift,detection,0.0069,True
ed6d472d8853,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0027,True
d1040ef5da04,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0075,True
99a24c37a69d,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0047,True
cafa3c6e8c90,spielberg_FP1,engine_temp,null_value,detection,0.004,True
a144d9e9d12d,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0044,True
497a6f76b61c,spielberg_FP1,g_force_lateral,null_value,detection,0.0039,True
152aeedf9bce,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0064,True
9ea7af6973f8,spielberg_FP1,speed,null_value,detection,0.0038,True
14a9a1e414a7,spielberg_FP1,rpm,bit_flip_high,detection,0.007,True
6f778243fb67,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0068,True
b5bac21c5e04,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0094,True
caa5518c64b3,spielberg_FP1,speed,bit_flip_low,detection,0.0094,True
cab84eeec18d,spielberg_FP1,brake_temp,null_value,detection,0.0043,True
f3f3c1c42dbe,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0042,True
8ca7cf5970b9,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0038,True
b58dedd69315,spielberg_FP1,tyre_pressure_v2,schema_drift,detection,0.0059,True
0ebb017530f1,spielberg_FP1,heart_rate,bit_flip_low,detection,0.008,True
fd4b4c6cff9d,spielberg_FP1,throttle,null_value,detection,0.0043,True
ff5f1d114949,spielberg_FP1,aero_load,sensor_dropout,detection,0.0038,True
61f7342a2a93,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0095,True
594b3af8523c,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.004,True
4e7f1691bf6f,spielberg_FP1,throttle_alt,schema_drift,detection,0.0059,True
567cd6e0fb14,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0024,True
bd2231b468a7,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0064,True
6f6e38159710,spielberg_FP1,rpm,null_value,detection,0.0036,True
5ca2b7ff71f9,spielberg_FP1,speed,bit_flip_low,detection,0.0073,True
9bc01f688af2,spielberg_FP1,ecu_canbus,null_value,detection,0.0038,True
73a696f88247,spielberg_FP1,brake_temp_alt,schema_drift,detection,0.0054,True
5eae328351f9,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.004,True
1b6a5be27cd1,spielberg_FP1,tyre_pressure,null_value,detection,0.0037,True
8d0563a35685,spielberg_FP1,speed_alt,schema_drift,detection,0.0055,True
de15fd720cd6,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0054,True
1afab40fe167,spielberg_FP1,brake_temp,bit_flip_low,detection,0.008,True
f91f4ea3d294,spielberg_FP1,throttle,sensor_dropout,detection,0.0044,True
041821d604aa,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0022,True
91e6ea3e4ea2,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0023,True
a04762d3f473,spielberg_FP1,heart_rate_v2,schema_drift,detection,0.0058,True
2a0d80e6db65,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0052,True
493c7c05a4ab,spielberg_FP1,aero_load,string_in_numeric,detection,0.0021,True
7f9814ab4543,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0041,True
4baffa6213dd,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0075,True
0d303a3f959e,spielberg_FP1,engine_temp,bit_flip_low,detection,0.022,True
47bc2bed1511,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0082,True
1559f35d4b1f,spielberg_FP1,throttle_v2,schema_drift,detection,0.0061,True
60d2af4c9ee8,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0055,True
6852941530a4,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0055,True
6e20d61ee8ea,spielberg_FP1,brake_temp_v2,schema_drift,detection,0.0057,True
e8a9be8714ae,spielberg_FP1,aero_load,sensor_dropout,detection,0.0044,True
101e9fd2bbf2,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0051,True
24bfb7e82386,spielberg_FP1,throttle,null_value,detection,0.0038,True
668243c6cce2,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0045,True
35e306a6ead3,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.005,True
3467a61a6ff4,spielberg_FP1,rpm,bit_flip_low,detection,0.0075,True
e495c239b266,spielberg_FP1,ecu_canbus,null_value,detection,0.0047,True
4546119b6d69,spielberg_FP1,aero_load_alt,schema_drift,detection,0.0058,True
7d1102e4c0ac,spielberg_FP1,rpm,string_in_numeric,detection,0.0023,True
6f6ba703c4bb,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0043,False
31a51429d395,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0045,True
39cb99aa6700,spielberg_FP1,aero_load,sensor_dropout,detection,0.0036,True
cec31d4e9410,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0054,True
0df986443cbd,spielberg_FP1,heart_rate,string_in_numeric,detection,0.002,True
61f977694406,spielberg_FP1,speed,bit_flip_high,detection,0.0078,True
ba9b386da0d6,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0065,True
4a4ccf7d69be,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0026,True
164c315df1e8,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0048,True
acfb5548df70,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0051,True
0d192cb9b5e4,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0023,True
8641214d5130,spielberg_FP1,rpm,bit_flip_low,detection,0.0081,True
aa4ecf5e3c5b,spielberg_FP1,throttle,bit_flip_high,detection,0.0145,True
5a2ee045e3c4,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0065,True
8f3f6014e5a8,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0061,True
9cee3f6c66f0,spielberg_FP1,throttle,bit_flip_high,detection,0.0062,True
a8565755dbaa,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0088,True
866b49407378,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0057,True
b11863b45fac,spielberg_FP1,throttle,bit_flip_high,detection,0.0093,True
c13bddea4ed4,spielberg_FP1,speed,duplicate_timestamp,detection,0.0047,True
381d2cd8259e,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0068,True
8760c767c457,spielberg_FP1,rpm,bit_flip_high,detection,0.0073,True
5f9b4b4d8eea,spielberg_FP1,speed_alt,schema_drift,detection,0.0058,True
98a46601a189,spielberg_FP1,speed,duplicate_timestamp,detection,0.0043,True
5a356e99711c,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0039,True
d5d12016fb84,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0023,True
529b8c1bc1e9,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0039,True
f012705fa571,spielberg_FP1,engine_temp,string_in_numeric,detection,0.005,True
c4b5805c5ff2,spielberg_FP1,speed,duplicate_timestamp,detection,0.005,True
1f0f380fce68,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0085,True
87dbb5672680,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0025,True
b35921fa42be,spielberg_FP1,brake_temp,string_in_numeric,detection,0.002,True
0f013f640442,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0047,True
af3e4a984eb4,spielberg_FP1,heart_rate,string_in_numeric,detection,0.002,True
c52c47ff1b80,spielberg_FP1,aero_load,bit_flip_high,detection,0.0075,True
a97affceb125,spielberg_FP1,throttle,string_in_numeric,detection,0.0021,True
08bc222b89b0,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0043,True
9fd52947f41e,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0039,True
3abec16c0b81,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0081,True
390909270234,spielberg_FP1,heart_rate,bit_flip_low,detection,0.009,True
84f756fe9a68,spielberg_FP1,speed,bit_flip_high,detection,0.0072,True
675c15ddc032,spielberg_FP1,speed,sensor_dropout,detection,0.0037,True
cc93c3645814,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0022,True
81a77372e6c4,spielberg_FP1,speed,sensor_dropout,detection,0.0037,True
1e83fd9e12e9,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0073,True
0d82ed06d852,spielberg_FP1,rpm_raw,schema_drift,detection,0.006,True
791c511061b8,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0055,True
04949a98d577,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0052,True
905649563dad,spielberg_FP1,rpm,bit_flip_high,detection,0.007,True
38ffc73f6a6c,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0045,True
28c4936fdb18,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0052,True
381a3da8b0f8,spielberg_FP1,aero_load,null_value,detection,0.0046,True
53e8c7460814,spielberg_FP1,throttle_new,schema_drift,detection,0.006,True
2a80c18e22cc,spielberg_FP1,aero_load,string_in_numeric,detection,0.0023,True
262ca3180361,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0071,True
9a69a1e1926b,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0048,True
ebec0eacd310,spielberg_FP1,ecu_canbus_raw,schema_drift,detection,0.0059,True
c4a00bd9b4e6,spielberg_FP1,heart_rate_canbus,schema_drift,detection,0.0061,True
e48600ae55ab,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0073,True
00fab7b22509,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0042,True
d345b94f7b2e,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0068,True
39aa04d8de81,spielberg_FP1,aero_load,duplicate_timestamp,detection,0.0045,True
0ef6327e0f5d,spielberg_FP1,tyre_pressure,duplicate_timestamp,detection,0.0055,True
5246a746f359,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0043,True
ecd637176620,spielberg_FP1,aero_load,bit_flip_high,detection,0.0076,True
ecf1ae07a739,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0049,True
affb59a2588d,spielberg_FP1,rpm,bit_flip_low,detection,0.0085,True
2693fedfd091,spielberg_FP1,brake_temp_new,schema_drift,detection,0.0053,True
171c1a989e50,spielberg_FP1,aero_load,null_value,detection,0.0038,True
c6f96a717a62,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0035,True
3e9e7e3d1394,spielberg_FP1,speed,null_value,detection,0.0045,True
f01ab4dcd73f,spielberg_FP1,throttle_canbus,schema_drift,detection,0.0063,True
43f6499add0e,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0042,True
98457b3b9b22,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0045,True
e2dbcc1833f8,spielberg_FP1,aero_load,sensor_dropout,detection,0.004,True
af59957024d7,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0042,True
7639964a04fa,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.0038,True
f9b56e4d009e,spielberg_FP1,rpm,bit_flip_low,detection,0.0069,True
3b333f90d48c,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0043,True
ecce1a9ffcc9,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0026,True
32c7299e7d95,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0072,True
acddf5e45747,spielberg_FP1,engine_temp_alt,schema_drift,detection,0.0073,True
3065c4dfdabd,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0042,True
a4df1cd5f16d,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0042,True
9da3d78d7c84,spielberg_FP1,aero_load,string_in_numeric,detection,0.003,True
8efbd902fe21,spielberg_FP1,g_force_lateral,null_value,detection,0.0038,True
35f81190f410,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0023,True
8fe2db80834d,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0052,True
debd18c82600,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0102,True
a954425f06e4,spielberg_FP1,speed,string_in_numeric,detection,0.0022,True
6624e024637c,spielberg_FP1,brake_temp,sensor_dropout,detection,0.0038,True
972053f170d4,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0056,True
86a0c915c06e,spielberg_FP1,speed,bit_flip_low,detection,0.0087,True
26281c15d6c3,spielberg_FP1,brake_temp,null_value,detection,0.0048,True
457d6ba10316,spielberg_FP1,aero_load_new,schema_drift,detection,0.0059,True
bdb833979ee5,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0067,True
d23b707ff2e8,spielberg_FP1,speed,sensor_dropout,detection,0.004,True
9accc0945db8,spielberg_FP1,ecu_canbus,null_value,detection,0.0038,True
3612e7f37e24,spielberg_FP1,rpm,sensor_dropout,detection,0.0037,True
15ad3472f807,spielberg_FP1,engine_temp,null_value,detection,0.0036,True
afc110e37ebf,spielberg_FP1,heart_rate_alt,schema_drift,detection,0.0058,True
f29ffcc7662b,spielberg_FP1,speed_canbus,schema_drift,detection,0.0052,True
5ae76795785b,spielberg_FP1,brake_temp,null_value,detection,0.0036,True
b3d2b3dc3f7b,spielberg_FP1,speed,bit_flip_high,detection,0.007,True
4380d95fbb6e,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0039,True
b94d44fd84b0,spielberg_FP1,speed,null_value,detection,0.0037,True
d83d85d8c43c,spielberg_FP1,engine_temp,string_in_numeric,detection,0.003,True
85416e69b147,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.007,True
f8501d128476,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0042,True
20b579edba47,spielberg_FP1,tyre_pressure,null_value,detection,0.004,True
5db2a6bc0aa7,spielberg_FP1,speed,null_value,detection,0.0037,True
43bba9a88aca,spielberg_FP1,throttle,bit_flip_low,detection,0.0079,True
64691779c7bd,spielberg_FP1,engine_temp,bit_flip_low,detection,0.006,True
8bed6212384c,spielberg_FP1,tyre_pressure,bit_flip_low,detection,0.0063,True
849b884c0d98,spielberg_FP1,rpm,bit_flip_low,detection,0.0082,True
fa8a48958919,spielberg_FP1,throttle,bit_flip_low,detection,0.007,True
67f9110927c9,spielberg_FP1,brake_temp,bit_flip_low,detection,0.0062,True
b2aec09f10a9,spielberg_FP1,aero_load,sensor_dropout,detection,0.0039,True
2af76e6f92c2,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0046,True
c6b9603627a4,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0067,True
6b8247aa3a07,spielberg_FP1,g_force_lateral,string_in_numeric,detection,0.0022,True
554e411c6782,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0042,True
31f6265c9e86,spielberg_FP1,ecu_canbus_new,schema_drift,detection,0.0058,True
a875c71a1936,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0085,True
ae094a9cfafc,spielberg_FP1,ecu_canbus_v2,schema_drift,detection,0.0054,True
745c109cae66,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0068,True
05cf67007487,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0043,True
73591bd8168b,spielberg_FP1,g_force_lateral,bit_flip_low,detection,0.0073,True
7dc6f3c4fa3e,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0048,True
f9453837249b,spielberg_FP1,throttle,null_value,detection,0.004,True
024a58fc7e2f,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0064,True
d32b3000b2e8,spielberg_FP1,aero_load,sensor_dropout,detection,0.0038,True
1d0bea12f65f,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0045,True
8ec6c843da98,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0047,True
b9e15ab05adc,spielberg_FP1,rpm,sensor_dropout,detection,0.0038,True
596ec28e0dae,spielberg_FP1,aero_load,string_in_numeric,detection,0.0023,True
935bd8dd7061,spielberg_FP1,engine_temp,sensor_dropout,detection,0.0112,True
56b354092192,spielberg_FP1,aero_load,bit_flip_low,detection,0.0102,True
ac42890aff45,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0072,True
b0571f8d44b6,spielberg_FP1,heart_rate_raw,schema_drift,detection,0.0063,True
e432fa4c95cb,spielberg_FP1,tyre_pressure,bit_flip_high,detection,0.0075,True
46fc37b5c306,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.004,True
2485c9a3554b,spielberg_FP1,throttle_raw,schema_drift,detection,0.0055,True
63860b2a16c0,spielberg_FP1,aero_load,bit_flip_low,detection,0.007,True
4c426eca5535,spielberg_FP1,brake_temp,sensor_dropout,detection,0.004,True
3d1eda875560,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0061,True
aad423d32dcf,spielberg_FP1,rpm,string_in_numeric,detection,0.0023,True
c18d2157489d,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0064,True
127e98b75574,spielberg_FP1,brake_temp,string_in_numeric,detection,0.0032,True
73437e93236a,spielberg_FP1,aero_load,bit_flip_low,detection,0.009,True
d22ba07736b1,spielberg_FP1,g_force_lateral,bit_flip_high,detection,0.0067,True
0fdd16ffdbd6,spielberg_FP1,throttle_raw,schema_drift,detection,0.0063,True
108974c2de16,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0023,True
40300cc94651,spielberg_FP1,aero_load,string_in_numeric,detection,0.002,True
23f4f866fb94,spielberg_FP1,g_force_lateral,duplicate_timestamp,detection,0.0049,True
2ad9dc1d782b,spielberg_FP1,engine_temp,null_value,detection,0.004,True
5a318580a077,spielberg_FP1,aero_load,bit_flip_low,detection,0.007,True
b86886e2b878,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0022,True
58da1dfcf8c4,spielberg_FP1,ecu_canbus,null_value,detection,0.0042,True
0834377eada4,spielberg_FP1,g_force_lateral_canbus,schema_drift,detection,0.0057,True
c6c3a0cbf856,spielberg_FP1,heart_rate,null_value,detection,0.0037,True
1deb316e7177,spielberg_FP1,heart_rate,string_in_numeric,detection,0.002,True
5634bc1c5d92,spielberg_FP1,engine_temp,null_value,detection,0.0038,True
30d782b0ceea,spielberg_FP1,brake_temp,duplicate_timestamp,detection,0.0043,True
412e4c9c3182,spielberg_FP1,heart_rate,bit_flip_low,detection,0.007,True
409e52313362,spielberg_FP1,rpm,null_value,detection,0.0053,True
77db789163eb,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0059,True
95a9b400fd77,spielberg_FP1,tyre_pressure_new,schema_drift,detection,0.0053,True
bab64e48232f,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.0025,True
67de9ddf882c,spielberg_FP1,aero_load,null_value,detection,0.0046,True
2f4db2eb3fa4,spielberg_FP1,ecu_canbus,string_in_numeric,detection,0.002,True
da98460d6d03,spielberg_FP1,speed,null_value,detection,0.0038,True
a9e3ca50d4b7,spielberg_FP1,throttle,null_value,detection,0.0038,True
88a9f3132719,spielberg_FP1,rpm,duplicate_timestamp,detection,0.0052,True
b5186c32a106,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0044,True
9ee95e35a701,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0027,True
040c0d00bead,spielberg_FP1,ecu_canbus,duplicate_timestamp,detection,0.0044,True
11a808e9a33a,spielberg_FP1,throttle,sensor_dropout,detection,0.0039,True
db95fbafd235,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0077,True
26342b539d20,spielberg_FP1,rpm,null_value,detection,0.0037,True
0ddcfc1c7dad,spielberg_FP1,brake_temp,null_value,detection,0.0202,True
1205873cd137,spielberg_FP1,engine_temp,null_value,detection,0.0039,True
42ef6fe7095d,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0038,True
375b0f8c27d8,spielberg_FP1,throttle,sensor_dropout,detection,0.0037,True
1080f9d3d2c8,spielberg_FP1,ecu_canbus,bit_flip_low,detection,0.0077,True
d9932a04e8d8,spielberg_FP1,throttle,bit_flip_low,detection,0.007,True
cc04fbe89527,spielberg_FP1,tyre_pressure,string_in_numeric,detection,0.0023,True
5f68af931757,spielberg_FP1,heart_rate,duplicate_timestamp,detection,0.0047,True
9252ad9c6213,spielberg_FP1,throttle,bit_flip_high,detection,0.0064,True
b1e1dff6c0ae,spielberg_FP1,engine_temp,string_in_numeric,detection,0.0033,True
74186bf91f4c,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.008,True
bf5131872cd8,spielberg_FP1,rpm,sensor_dropout,detection,0.0044,True
7b0983008c45,spielberg_FP1,brake_temp,string_in_numeric,detection,0.003,True
189616ba60e0,spielberg_FP1,engine_temp_raw,schema_drift,detection,0.0071,True
0e0fd66d3870,spielberg_FP1,tyre_pressure,null_value,detection,0.0047,True
a9f638f7f10f,spielberg_FP1,rpm,bit_flip_low,detection,0.0078,True
ea399fe81d59,spielberg_FP1,aero_load_new,schema_drift,detection,0.0057,True
5e849d95cfb5,spielberg_FP1,ecu_canbus,null_value,detection,0.0038,True
df002812dab0,spielberg_FP1,throttle,duplicate_timestamp,detection,0.0044,True
c7fd5d1c3a5e,spielberg_FP1,tyre_pressure,sensor_dropout,detection,0.0038,True
b0ffbd17b86e,spielberg_FP1,throttle,bit_flip_low,detection,0.0072,True
e41a9ece2ead,spielberg_FP1,brake_temp,null_value,detection,0.0078,True
0d1c5485b881,spielberg_FP1,rpm,bit_flip_high,detection,0.0077,True
4acce281559a,spielberg_FP1,throttle,null_value,detection,0.0042,True
6c17f36016d4,spielberg_FP1,brake_temp,bit_flip_high,detection,0.0073,True
bb7db40cebed,spielberg_FP1,heart_rate,bit_flip_high,detection,0.0072,True
69a8051a2172,spielberg_FP1,engine_temp,bit_flip_high,detection,0.0152,True
f7e28aae85ac,spielberg_FP1,heart_rate,string_in_numeric,detection,0.0021,True
f048027a7e97,spielberg_FP1,brake_temp_canbus,schema_drift,detection,0.0058,True
b413d18098e9,spielberg_FP1,engine_temp,duplicate_timestamp,detection,0.0046,True
5330ec7c5705,spielberg_FP1,speed,string_in_numeric,detection,0.0022,True
68fc44c5c27a,spielberg_FP1,speed,null_value,detection,0.0039,True
ee65afb478f4,spielberg_FP1,heart_rate,bit_flip_low,detection,0.0068,True
24132b4f407b,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0064,True
78a558c2914d,spielberg_FP1,ecu_canbus_alt,schema_drift,detection,0.0055,True
b9c2f617aa81,spielberg_FP1,speed,bit_flip_low,detection,0.0065,True
b5a52db3b71c,spielberg_FP1,heart_rate,sensor_dropout,detection,0.0039,True
0a5027029f68,spielberg_FP1,rpm,bit_flip_high,detection,0.0079,True
812c6ecb3a2f,spielberg_FP1,engine_temp,bit_flip_low,detection,0.0073,True
57beb9eae09a,spielberg_FP1,ecu_canbus,sensor_dropout,detection,0.0039,True
c4cc77a3c4b6,spielberg_FP1,engine_temp,string_in_numeric,detection,0.002,True
88fc481fa4bb,spielberg_FP1,throttle,bit_flip_high,detection,0.0066,True
949f93c1554e,spielberg_FP1,aero_load,null_value,detection,0.005,True
18e31889d8e0,spielberg_FP1,tyre_pressure_canbus,schema_drift,detection,0.0066,True
bcfa685bb880,spielberg_FP1,g_force_lateral,sensor_dropout,detection,0.004,True
cab99ac23a10,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0053,True
c81aeebfe450,spielberg_FP1,ecu_canbus,bit_flip_high,detection,0.0072,True
f8f6fe456139,spielberg_FP1,g_force_lateral,null_value,detection,0.0039,True
1a414257d412,spielberg_FP1,rpm,null_value,detection,0.0039,True
430f75339d55,spielberg_FP1,rpm,bit_flip_low,detection,0.0072,True
9f90eaf4a1d0,spielberg_FP1,engine_temp_new,schema_drift,detection,0.0058,True
65793c6207ef,spielberg_FP1,heart_rate,sensor_dropout,detection,0.005,True
302c57197293,spielberg_FP1,rpm,bit_flip_high,detection,0.008,True
316261830983,spielberg_FP1,g_force_lateral_v2,schema_drift,detection,0.0107,True
b69fc6439d1a,spielberg_FP2,rpm_new,schema_drift,detection,0.0059,True
db4dc24c69c5,spielberg_FP2,engine_temp,bit_flip_high,detection,0.0078,True
f83c31dcfe36,spielberg_FP2,brake_temp,bit_flip_high,detection,0.0065,True
b8423672916e,spielberg_FP2,ecu_canbus,duplicate_timestamp,detection,0.0042,True
4b9b484b75d0,spielberg_FP2,throttle_new,schema_drift,detection,0.0055,True
f48c5fc43a13,spielberg_FP2,engine_temp,duplicate_timestamp,detection,0.0041,True
19643b837251,spielberg_FP2,speed,sensor_dropout,detection,0.0038,True
184ec57b6f66,spielberg_FP2,throttle,null_value,detection,0.0037,True
fede1f9e916a,spielberg_FP2,engine_temp,sensor_dropout,detection,0.005,True
6851ad9f067a,spielberg_FP2,heart_rate,string_in_numeric,detection,0.0022,True
5db39563956a,spielberg_FP2,speed,bit_flip_low,detection,0.0068,True
c9a129145d38,spielberg_FP2,ecu_canbus,null_value,detection,0.0039,True
e80e205cd3a4,spielberg_FP2,throttle,null_value,detection,0.0035,True
2e2869f2fe9b,spielberg_FP2,heart_rate,sensor_dropout,detection,0.0036,True
d19fec402017,spielberg_FP2,throttle,string_in_numeric,detection,0.0019,True
5ff086e6a6b3,spielberg_FP2,throttle,string_in_numeric,detection,0.0018,True
586ed409ae4a,spielberg_FP2,tyre_pressure,null_value,detection,0.004,True
56f3505d6822,spielberg_FP2,brake_temp,duplicate_timestamp,detection,0.0041,True
5588459aa0c2,spielberg_FP2,g_force_lateral,duplicate_timestamp,detection,0.004,True
59ff8144d162,spielberg_FP2,ecu_canbus,bit_flip_high,detection,0.0069,True
e49d456387bc,spielberg_FP2,throttle,sensor_dropout,detection,0.0052,True
115acef25276,spielberg_FP2,tyre_pressure,sensor_dropout,detection,0.0041,True
30dfe9efc9d5,spielberg_FP2,ecu_canbus,duplicate_timestamp,detection,0.0048,True
870e85a4d9f0,spielberg_FP2,rpm,string_in_numeric,detection,0.0025,True
53ba9f6f1a66,spielberg_FP2,speed_alt,schema_drift,detection,0.0109,True
3c534cf3fedd,spielberg_FP2,speed,string_in_numeric,detection,0.002,True
00d39f209b0a,spielberg_FP2,rpm,duplicate_timestamp,detection,0.0048,True
be022b9546fa,spielberg_FP2,ecu_canbus_alt,schema_drift,detection,0.0054,True
54ccdf4e4c67,spielberg_FP2,g_force_lateral,bit_flip_low,detection,0.0065,True
2d126e29806a,spielberg_FP2,brake_temp,duplicate_timestamp,detection,0.0041,True
09a9b46ab4bf,spielberg_FP2,tyre_pressure_canbus,schema_drift,detection,0.0057,True
c9ec3ddc9712,spielberg_FP2,aero_load,duplicate_timestamp,detection,0.0048,True
5e9ea91cc968,spielberg_FP2,ecu_canbus,bit_flip_high,detection,0.0074,True
b6dfa66ff536,spielberg_FP2,heart_rate,bit_flip_low,detection,0.0069,True
fe22ccb19b5f,spielberg_FP2,ecu_canbus,null_value,detection,0.0038,True
67a73078655d,spielberg_FP2,g_force_lateral,bit_flip_high,detection,0.0061,True
