phase,api,chaos_method,reconciler,iteration,packet_idx,source_field,drifted_field,chaos_sub_type,reconciliation_status,quantum_routed,payload_source,chaos_type,selected_reconciler,optimal_reconciler,routing_decision_match,qpu_execution_time_ms,classical_simulation_baseline_ms,quantum_loop_iterations,gate_fidelity_average,qubit_coherence_status_score,gpu_energy_draw_joules,cpu_energy_draw_joules
quantum,openf1,schema_alter,bert,1,37,date,,type_change,FAILURE,True,openf1,schema_alter,bert,levenshtein,False,0.0,1408.7989700492471,108,1.0,1.0,0.3,0.95
quantum,openf1,schema_alter,bert,1,37,driver_number,,type_change,FAILURE,True,openf1,schema_alter,bert,levenshtein,False,0.0,1408.7989700492471,108,1.0,1.0,0.3,0.95
quantum,openf1,schema_alter,bert,1,37,rpm,,type_change,FAILURE,True,openf1,schema_alter,bert,levenshtein,False,0.0,1408.7989700492471,108,1.0,1.0,0.3,0.95
quantum,openf1,schema_alter,bert,1,37,speed,,type_change,FAILURE,True,openf1,schema_alter,bert,levenshtein,False,0.0,1408.7989700492471,108,1.0,1.0,0.3,0.95
quantum,openf1,schema_alter,bert,1,37,gear,,type_change,FAILURE,True,openf1,schema_alter,bert,levenshtein,False,0.0,1408.7989700492471,108,1.0,1.0,0.3,0.95
quantum,openf1,schema_alter,bert,1,37,throttle,,type_change,FAILURE,True,openf1,schema_alter,bert,levenshtein,False,0.0,1408.7989700492471,108,1.0,1.0,0.3,0.95
quantum,openf1,schema_alter,bert,1,37,brake,,type_change,FAILURE,True,openf1,schema_alter,bert,levenshtein,False,0.0,1408.7989700492471,108,1.0,1.0,0.3,0.95
quantum,openf1,schema_alter,bert,1,37,drs,,type_change,FAILURE,True,openf1,schema_alter,bert,levenshtein,False,0.0,1408.7989700492471,108,1.0,1.0,0.3,0.95
quantum,openf1,schema_alter,bert,1,37,n_gear,,type_change,FAILURE,True,openf1,schema_alter,bert,levenshtein,False,0.0,1408.7989700492471,108,1.0,1.0,0.3,0.95
quantum,openf1,schema_alter,bert,1,37,session_key,,type_change,FAILURE,True,openf1,schema_alter,bert,levenshtein,False,0.0,1408.7989700492471,108,1.0,1.0,0.3,0.95
quantum,openf1,schema_alter,bert,1,77,date,,type_change,FAILURE,True,openf1,schema_alter,bert,levenshtein,False,0.0,1408.7989700492471,108,1.0,1.0,0.3,0.95
quantum,openf1,schema_alter,bert,1,77,driver_number,,type_change,FAILURE,True,openf1,schema_alter,bert,levenshtein,False,0.0,1408.7989700492471,108,1.0,1.0,0.3,0.95
quantum,openf1,schema_alter,bert,1,77,rpm,,type_change,FAILURE,True,openf1,schema_alter,bert,levenshtein,False,0.0,1408.7989700492471,108,1.0,1.0,0.3,0.95
quantum,openf1,schema_alter,bert,1,77,speed,,type_change,FAILURE,True,openf1,schema_alter,bert,levenshtein,False,0.0,1408.7989700492471,108,1.0,1.0,0.3,0.95
quantum,openf1,schema_alter,bert,1,77,gear,,type_change,FAILURE,True,openf1,schema_alter,bert,levenshtein,False,0.0,1408.7989700492471,108,1.0,1.0,0.3,0.95
quantum,openf1,schema_alter,bert,1,77,throttle,,type_change,FAILURE,True,openf1,schema_alter,bert,levenshtein,False,0.0,1408.7989700492471,108,1.0,1.0,0.3,0.95
quantum,openf1,schema_alter,bert,1,77,brake,,type_change,FAILURE,True,openf1,schema_alter,bert,levenshtein,False,0.0,1408.7989700492471,108,1.0,1.0,0.3,0.95
quantum,openf1,schema_alter,bert,1,77,drs,,type_change,FAILURE,True,openf1,schema_alter,bert,levenshtein,False,0.0,1408.7989700492471,108,1.0,1.0,0.3,0.95
quantum,openf1,schema_alter,bert,1,77,n_gear,,type_change,FAILURE,True,openf1,schema_alter,bert,levenshtein,False,0.0,1408.7989700492471,108,1.0,1.0,0.3,0.95
quantum,openf1,schema_alter,bert,1,77,session_key,,type_change,FAILURE,True,openf1,schema_alter,bert,levenshtein,False,0.0,1408.7989700492471,108,1.0,1.0,0.3,0.95
